country_of_citizenship,iso3c,lattitude,longitude,year,billionaire_count,total_wealth,current_gdp,percent_of_gdp
Hong Kong,HKG,22.3193,114.1694,2012,38.0,159.0,262.628865879697,60.54170757940732
Singapore,SGP,1.3521,103.8198,2012,5.0,11.6,295.09288807658896,3.9309656276735865
Monaco,MCO,43.7384,7.4246,2012,2.0,4.2,5.7427492940085205,73.1357018211105
St. Kitts and Nevis,KNA,17.3578,-62.783,2012,1.0,1.6,0.8253814814814809,193.8497574634401
Liechtenstein,LIE,47.166,9.5554,2012,,,,
Hong Kong,HKG,22.3193,114.1694,2013,39.0,193.1,275.696879834966,70.04069110814419
Singapore,SGP,1.3521,103.8198,2013,10.0,31.6,307.576360584992,10.27387148345818
Monaco,MCO,43.7384,7.4246,2013,3.0,4.45,6.55559170988585,67.88098156401942
St. Kitts and Nevis,KNA,17.3578,-62.783,2013,1.0,1.5,0.874896296296296,171.44889129716967
Liechtenstein,LIE,47.166,9.5554,2013,,,,
Hong Kong,HKG,22.3193,114.1694,2014,45.0,213.65,291.459995978893,73.30337025581794
Singapore,SGP,1.3521,103.8198,2014,16.0,45.0,314.86358075845504,14.29190377991711
Monaco,MCO,43.7384,7.4246,2014,3.0,4.55,7.069353073088821,64.36232499577169
St. Kitts and Nevis,KNA,17.3578,-62.783,2014,1.0,1.2,0.952111111111111,126.03571011786674
Liechtenstein,LIE,47.166,9.5554,2014,,,,
Hong Kong,HKG,22.3193,114.1694,2015,55.0,246.1,309.385622601348,79.54474352452593
Singapore,SGP,1.3521,103.8198,2015,19.0,53.55,307.998545269398,17.386445755177597
Monaco,MCO,43.7384,7.4246,2015,4.0,6.8500000000000005,6.26164989082388,109.39608760365724
St. Kitts and Nevis,KNA,17.3578,-62.783,2015,1.0,1.2,0.957222222222222,125.36273940800932
Liechtenstein,LIE,47.166,9.5554,2015,1.0,2.7,6.26851527617441,43.07240041772337
Hong Kong,HKG,22.3193,114.1694,2016,63.0,240.2,320.860317562562,74.86123613686361
Singapore,SGP,1.3521,103.8198,2016,17.0,44.5,319.053943915005,13.94748469614739
Monaco,MCO,43.7384,7.4246,2016,4.0,7.1,6.46564558494877,109.8111535300965
St. Kitts and Nevis,KNA,17.3578,-62.783,2016,,,,
Liechtenstein,LIE,47.166,9.5554,2016,1.0,2.5,6.23730203350132,40.08143242979402
Hong Kong,HKG,22.3193,114.1694,2017,67.0,271.1,341.273289534466,79.4378019943518
Singapore,SGP,1.3521,103.8198,2017,21.0,59.4,343.25716458171195,17.304809958558025
Monaco,MCO,43.7384,7.4246,2017,4.0,7.1,6.43127136508338,110.39807834182332
St. Kitts and Nevis,KNA,17.3578,-62.783,2017,2.0,4.9,1.05697777777778,463.5859053065335
Liechtenstein,LIE,47.166,9.5554,2017,1.0,2.7,6.47430871785289,41.70329401430545
Hong Kong,HKG,22.3193,114.1694,2018,67.0,334.7,361.731070995726,92.52730186507938
Singapore,SGP,1.3521,103.8198,2018,22.0,64.5,376.892697588005,17.113624225881733
Monaco,MCO,43.7384,7.4246,2018,4.0,6.9,7.1824444095406905,96.06757263355205
St. Kitts and Nevis,KNA,17.3578,-62.783,2018,3.0,4.2,1.07654814814815,390.135825065022
Liechtenstein,LIE,47.166,9.5554,2018,1.0,3.9,6.69262069184146,58.27313663172689
Hong Kong,HKG,22.3193,114.1694,2019,71.0,319.8,363.07454507238896,88.08108536946291
Singapore,SGP,1.3521,103.8198,2019,22.0,71.3,376.901649222451,18.917401966028027
Monaco,MCO,43.7384,7.4246,2019,4.0,6.3,7.38394404417,85.32025652299154
St. Kitts and Nevis,KNA,17.3578,-62.783,2019,2.0,2.9,1.10785555555556,261.7669772433219
Liechtenstein,LIE,47.166,9.5554,2019,1.0,3.0,6.43646700711932,46.60942092426989
Hong Kong,HKG,22.3193,114.1694,2020,67.0,311.5,344.943149590058,90.30473582971484
Singapore,SGP,1.3521,103.8198,2020,27.0,90.7,349.488382610662,25.95222173695023
Monaco,MCO,43.7384,7.4246,2020,3.0,4.6,6.73964541647916,68.25284886282746
St. Kitts and Nevis,KNA,17.3578,-62.783,2020,2.0,2.2,0.8839222222222219,248.89067665581447
Liechtenstein,LIE,47.166,9.5554,2020,1.0,3.3,6.40587021032293,51.51524916446351
Hong Kong,HKG,22.3193,114.1694,2021,71.0,448.2,368.954169748818,121.47850241267965
Singapore,SGP,1.3521,103.8198,2021,27.0,156.9,434.111559282849,36.14278326502024
Monaco,MCO,43.7384,7.4246,2021,3.0,4.8,8.62608132050612,55.6451976471556
St. Kitts and Nevis,KNA,17.3578,-62.783,2021,1.0,1.6,0.858622222222222,186.3450489155754
Liechtenstein,LIE,47.166,9.5554,2021,1.0,5.5,7.71038008592257,71.33241083720075
Hong Kong,HKG,22.3193,114.1694,2022,67.0,383.4,358.69626148116,106.88709116086996
Singapore,SGP,1.3521,103.8198,2022,26.0,106.7,498.47454098778,21.405305833385725
Monaco,MCO,43.7384,7.4246,2022,4.0,15.1,8.784002931686649,171.90340346460468
St. Kitts and Nevis,KNA,17.3578,-62.783,2022,1.0,1.5,0.98142962962963,152.83826315352505
Liechtenstein,LIE,47.166,9.5554,2022,1.0,2.3,7.36465451513984,31.23024977304489
Hong Kong,HKG,22.3193,114.1694,2023,69.0,367.3,382.054574298529,96.13809772448892
Singapore,SGP,1.3521,103.8198,2023,37.0,124.8,501.427500080059,24.88894206641521
Monaco,MCO,43.7384,7.4246,2023,3.0,12.4,,
St. Kitts and Nevis,KNA,17.3578,-62.783,2023,1.0,1.3,1.07703311111111,120.70195304013156
Liechtenstein,LIE,47.166,9.5554,2023,1.0,2.3,,
Hong Kong,HKG,22.3193,114.1694,2024,67.0,329.7,,
Singapore,SGP,1.3521,103.8198,2024,39.0,115.5,,
Monaco,MCO,43.7384,7.4246,2024,3.0,11.0,,
St. Kitts and Nevis,KNA,17.3578,-62.783,2024,1.0,1.3,,
Liechtenstein,LIE,47.166,9.5554,2024,1.0,1.5,,
