country_of_citizenship,year,iso3c,billionaire_count,total_wealth,current_gdp,percent_of_gdp
Angola,2019,AGO,1,2.3,70.8979627320277,3.2440988589380013
Canada,2019,CAN,45,153.1,1743.72518367252,8.780053269492317
Australia,2019,AUS,36,114.4,1394.6713259605701,8.202649460883395
South Africa,2019,ZAF,5,18.7,389.33003222426896,4.80312291686455
Netherlands,2019,NLD,20,61.4,456.6102358513522,13.446917125175561
Austria,2019,AUT,9,44.6,444.59615584525403,10.031575715090856
Nepal,2019,NPL,1,1.7,34.1861806990255,4.972769596483352
Norway,2019,NOR,15,36.3,408.742840909091,8.880889490141191
St. Kitts and Nevis,2019,KNA,2,2.9,1.10785555555556,261.7669772433219
Colombia,2019,COL,3,17.1,323.03170119284005,5.293598101008614
Belgium,2019,BEL,3,11.1,535.8658043498029,2.0714141320266317
Peru,2019,PER,6,11.2,228.34600600364803,4.904837266924244
Switzerland,2019,CHE,33,106.8,721.369112726724,14.805180609452988
United Kingdom,2019,GBR,54,182.0,2851.40716490781,6.382813448737487
Germany,2019,DEU,114,500.9,3889.1775892549,12.879329588442987
Venezuela,2019,VEN,2,4.9,,
Qatar,2019,QAT,1,1.6,176.371267692308,0.9071772409048574
Macau,2019,MAC,1,1.5,,
Brazil,2019,BRA,58,179.7,1873.2882051864499,9.592757777606053
China,2019,CHN,324,980.7,14279.968506271702,6.867662205062152
Argentina,2019,ARG,5,10.9,447.75468361522496,2.434368728874502
Algeria,2019,DZA,1,3.7,193.459662090677,1.9125434005285107
Philippines,2019,PHL,17,47.7,376.823402244928,12.65844947947153
Hungary,2019,HUN,2,2.1,164.020460331659,1.2803280735547728
Iceland,2019,ISL,1,2.1,24.6813436492952,8.508450876255141
Romania,2019,ROU,1,1.2,251.017797625017,0.47805375210590456
Chile,2019,CHL,11,37.3,278.285058719466,13.403522334844945
Portugal,2019,PRT,1,4.8,239.986922638902,2.0001089839475767
Greece,2019,GRC,4,9.3,205.25276088936403,4.530998735268129
Guernsey,2019,GGY,1,2.2,,
Kuwait,2019,KWT,1,1.4,138.69632108786402,1.0093995204913193
Liechtenstein,2019,LIE,1,3.0,6.43646700711932,46.60942092426989
Lebanon,2019,LBN,6,11.1,51.6059591312741,21.509143879612946
Poland,2019,POL,7,13.200000000000001,596.058473058766,2.2145478332456485
Hong Kong,2019,HKG,71,319.8,363.07454507238896,88.08108536946291
Oman,2019,OMN,2,4.300000000000001,88.06085825747721,4.882986703839999
Russia,2019,RUS,98,421.0,1693.1150027083202,24.865410756302147
Georgia,2019,GEO,1,4.9,17.638337116912602,27.78039657322125
Egypt,2020,EGY,6,16.8,383.81784154709896,4.37707635796249
Guernsey,2020,GGY,1,2.1,,
Switzerland,2020,CHE,35,96.4,741.999406005627,12.991924147075254
Poland,2020,POL,6,12.8,599.442732365372,2.1353165713581714
St. Kitts and Nevis,2020,KNA,2,2.2,0.8839222222222219,248.89067665581447
Israel,2020,ISR,17,51.3,413.26766923152195,12.413262352555474
Australia,2020,AUS,31,95.0,1330.3815449093001,7.140808617160778
Philippines,2020,PHL,15,31.0,361.751145451597,8.56942690846237
Vietnam,2020,VNM,4,10.2,346.615738537796,2.942740004544762
Greece,2020,GRC,3,4.9,188.480337285605,2.5997406788247686
Nepal,2020,NPL,1,1.4,33.4336593012466,4.187396860707377
Cyprus,2020,CYP,3,14.7,25.227189744908298,58.27046194460466
Turkey,2020,TUR,23,38.9,720.338498174744,5.400238929137924
Monaco,2020,MCO,3,4.6,6.73964541647916,68.25284886282746
Italy,2020,ITA,36,125.6,1897.46163559191,6.619369669670253
Czechia,2020,CZE,8,32.3,245.974558654043,13.131439355656749
Liechtenstein,2020,LIE,1,3.3,6.40587021032293,51.51524916446351
Portugal,2020,PRT,1,3.8,229.031860520777,1.6591578094678565
Hong Kong,2020,HKG,67,311.5,344.943149590058,90.30473582971484
Morocco,2020,MAR,1,1.0,121.35364505714399,0.8240378766777973
Mexico,2020,MEX,12,103.0,1120.8324124688502,9.189598628141256
United Kingdom,2020,GBR,46,154.0,2697.80659229386,5.708341007094162
United Arab Emirates,2020,ARE,4,10.5,349.47301533015695,3.004523822842332
Tanzania,2020,TZA,1,1.6,66.0687377860639,2.4217202471476504
Spain,2020,ESP,24,97.1,1278.12886787549,7.5970430244174
Taiwan,2020,TWN,36,75.4,,
South Korea,2020,KOR,28,70.4,1644.31283190617,4.28142374333896
Chile,2020,CHL,7,21.0,254.04215930931102,8.26634447490713
Argentina,2020,ARG,4,8.8,385.740508436965,2.2813263858799613
Angola,2020,AGO,1,1.4,48.501561203568606,2.88650502222801
Qatar,2020,QAT,1,1.2,144.41136335164802,0.830959539574422
Denmark,2020,DNK,8,42.4,354.762748338661,11.951649432911829
South Africa,2020,ZAF,4,15.4,338.291396026698,4.5522884060535285
Hungary,2020,HUN,1,1.2,157.288955508176,0.7629270574802839
Peru,2020,PER,2,5.2,201.409694755934,2.5818022346448126
Zimbabwe,2020,ZWE,1,1.1,21.5096984061116,5.113972214912389
Canada,2020,CAN,44,142.8,1655.68473000019,8.624830404758496
Sweden,2020,SWE,31,106.6,547.0541742358761,19.486187112802607
Singapore,2020,SGP,27,90.7,349.488382610662,25.95222173695023
Nigeria,2020,NGA,6,33.6,222.97177578542647,15.069171818559877
Finland,2020,FIN,6,11.700000000000001,271.886077382102,4.303272941614112
Malaysia,2020,MYS,12,44.699999999999996,337.456163961211,13.24616491673806
Japan,2020,JPN,26,110.0,5055.58709350159,2.1758106025192028
Russia,2020,RUS,98,384.0,1493.07589436214,25.718719420090125
Indonesia,2020,IDN,15,53.7,1059.05484269848,5.070558939438111
Lebanon,2020,LBN,6,10.200000000000001,31.712128253796102,32.164350239656365
Oman,2020,OMN,1,2.1,75.90939765929781,2.7664558865627886
Kuwait,2020,KWT,1,1.3,107.51299844702099,1.2091561195185148
France,2020,FRA,39,304.3,2647.41869159845,11.494215137397504
Thailand,2020,THA,20,66.4,500.46189848024596,13.267743299067735
India,2020,IND,102,312.6,2674.85157858686,11.68662973685996
Georgia,2020,GEO,1,4.8,16.01086921568,29.97963405571506
Colombia,2020,COL,3,13.7,270.348342541465,5.067536153989457
Germany,2020,DEU,105,444.8,3887.7271619144103,11.44113209274104
Slovakia,2020,SVK,2,2.5,106.737868873941,2.3421865420158774
Belgium,2020,BEL,1,8.0,526.021513474243,1.5208503445347632
Ukraine,2020,UKR,6,8.0,156.61772201334202,5.1079787760662825
Macao,2020,MAC,1,1.9,,
Austria,2020,AUT,9,41.2,435.049316955737,9.470190710399802
United States,2020,USA,615,2948.7,21322.95,13.828761967738984
Netherlands,2020,NLD,22,57.4,456.1638971296231,12.58319660130606
Romania,2020,ROU,2,2.5,251.362514349697,0.9945794847206156
Iceland,2020,ISL,1,2.0,21.629953194065898,9.246437022104574
Ireland,2020,IRL,9,35.8,428.60868783023903,8.35260717211114
Venezuela,2020,VEN,1,3.4,,
