country_of_citizenship,year,iso3c,billionaire_count,total_wealth,current_gdp,percent_of_gdp
Uruguay,2022,URY,2,3.0,70.1646832903776,4.275655300237664
Oman,2022,OMN,1,2.5,114.667360208062,2.180219371461759
South Korea,2022,KOR,41,109.3,1673.91651179971,6.529596860388586
Mexico,2022,MEX,15,160.9,1463.32388903656,10.995515155973786
Egypt,2022,EGY,6,18.3,476.747720364742,3.838508128785461
Japan,2022,JPN,40,154.5,4256.41076072375,3.629818847035552
Denmark,2022,DNK,9,57.0,400.167196948707,14.244046097388187
South Africa,2022,ZAF,5,25.0,405.270850098738,6.1687140819304265
Liechtenstein,2023,LIE,1,2.3,,
Armenia,2023,ARM,1,1.2,24.212134631064,4.956192497213395
Vietnam,2023,VNM,6,12.6,429.716969049593,2.9321625412809453
Indonesia,2023,IDN,29,138.4,1371.1711523311599,10.093561242497186
Nigeria,2023,NGA,6,57.0,189.81706105831918,30.028912934484527
Monaco,2023,MCO,3,12.4,,
Italy,2023,ITA,64,215.6,2254.8512127318,9.561606494594207
Australia,2023,AUS,47,183.5,1723.8272153347102,10.644918375091924
Norway,2023,NOR,12,36.3,485.51331650363005,7.476622940316116
Ukraine,2023,UKR,5,11.6,178.757021386809,6.489255588399505
India,2023,IND,169,674.8,3549.9189187775296,19.00888486299225
Argentina,2023,ARG,5,12.8,640.591410663883,1.9981535479432353
Macau,2023,MAC,1,1.3,,
Japan,2023,JPN,40,151.1,4212.9451597813995,3.5865646066904953
Barbados,2023,BRB,1,1.4,6.39356418961345,21.897019541531233
New Zealand,2023,NZL,3,12.7,253.46570323214598,5.010539823752104
United Kingdom,2023,GBR,53,203.8,3340.03238066804,6.101737251997478
Bangladesh,2023,BGD,1,1.0,437.41533104099403,0.22861567234511979
Zimbabwe,2023,ZWE,1,1.9,26.5382734988461,7.159471018650152
Morocco,2023,MAR,2,2.8,141.109373209414,1.9842764065322913
Austria,2023,AUT,11,70.7,516.03414411595,13.700643805483171
Malaysia,2023,MYS,18,54.7,399.64882854650403,13.687016223453032
Ireland,2023,IRL,9,36.2,545.6294504037351,6.634539241460307
Netherlands,2023,NLD,24,81.2,1118.1247498862901,7.26215925443541
Nepal,2023,NPL,1,1.8,40.9080733668455,4.400109445043761
Kazakhstan,2023,KAZ,6,22.6,261.421121085572,8.645055114962288
Israel,2023,ISR,30,113.3,509.901495702103,22.21997796731168
Mexico,2023,MEX,14,168.9,1788.8868210468102,9.441625820752824
United Arab Emirates,2023,ARE,4,21.4,504.173451327434,4.244570979224734
Chile,2023,CHL,7,41.9,335.5333316692191,12.487582021003666
Oman,2023,OMN,2,4.300000000000001,108.19245773732099,3.9743990384615464
Bulgaria,2023,BGR,2,4.2,101.584384672786,4.134493715277838
Slovakia,2023,SVK,2,3.1,132.793622283071,2.3344494612789846
Eswatini (Swaziland),2023,SWZ,1,6.5,4.59785584504276,141.37024341483132
Estonia,2023,EST,1,1.3,40.744848827953696,3.1905873684530963
South Africa,2023,ZAF,5,25.6,377.781600985873,6.776402009307303
Egypt,2023,EGY,6,19.1,395.92607516300603,4.824132886962895
Canada,2023,CAN,63,245.1,2140.08556779145,11.452813087887
Denmark,2023,DNK,8,42.2,404.198757537974,10.440408144014485
Tanzania,2023,TZA,1,1.5,79.158286333524,1.89493743419347
South Korea,2023,KOR,30,74.4,1712.79285420237,4.343782718234618
Czech Republic,2023,CZE,11,61.4,330.858339871686,18.557791235914515
Spain,2023,ESP,27,135.2,1580.6947125157099,8.55320125572042
United States,2023,USA,734,4489.0,27360.935,16.406603063820736
Taiwan,2023,TWN,52,136.1,,
St. Kitts and Nevis,2023,KNA,1,1.3,1.07703311111111,120.70195304013157
Cyprus,2023,CYP,9,36.8,32.229622669195095,114.18067278576378
Croatia,2023,HRV,1,1.6,82.68884271739259,1.9349647998682893
Sweden,2023,SWE,39,140.4,593.267701033408,23.665539141173273
Colombia,2023,COL,4,18.1,363.540156234868,4.978817247442221
China,2023,CHN,490,1644.7,17794.7819861045,9.24259707865095
Switzerland,2023,CHE,41,206.3,884.9404022304091,23.31230436310064
Lebanon,2023,LBN,6,11.799999999999999,,
Finland,2023,FIN,7,14.0,300.187202696084,4.663756440734717
Singapore,2023,SGP,37,124.8,501.427500080059,24.888942066415215
France,2023,FRA,43,590.0,3030.9040896079,19.466138899707868
Venezuela,2023,VEN,1,4.3,,
Panama,2023,PAN,1,1.0,83.3824,1.199293855777718
Iceland,2023,ISL,1,2.5,31.0200325831972,8.059308104512404
Peru,2023,PER,4,5.5,267.60324865525297,2.0552814764537937
Belgium,2023,BEL,4,15.8,632.2165770751091,2.4991435803688073
Hungary,2023,HUN,3,3.9,212.388906458724,1.8362540986847316
Turkey,2023,TUR,26,57.8,1108.02237325951,5.216501164138737
Philippines,2023,PHL,14,41.4,437.146372729942,9.47051207161128
Hong Kong,2023,HKG,69,367.3,382.054574298529,96.13809772448893
Poland,2023,POL,7,21.6,811.2291006875661,2.6626263754212816
Guernsey,2023,GGY,1,2.3,,
Belize,2023,BLZ,1,3.9,3.2815,118.84808776474173
Portugal,2023,PRT,1,4.7,287.080013574497,1.637174229400109
Qatar,2023,QAT,2,3.0,,
Greece,2023,GRC,6,16.6,238.20631263252798,6.968748987608991
Romania,2023,ROU,6,8.8,351.00257962967,2.50710408148127
Germany,2023,DEU,126,585.4,4456.08101670596,13.137104056351774
Brazil,2023,BRA,51,160.4,2173.66565593727,7.3792397447084195
Georgia,2023,GEO,2,8.600000000000001,30.5355304790227,28.163912219923702
Thailand,2023,THA,28,100.8,514.944993833578,19.574906292336333
Algeria,2023,DZA,1,4.6,239.899491127742,1.9174696779788436
Russia,2023,RUS,103,469.7,2021.42147603542,23.23612396367801
Algeria,2024,DZA,1,2.5,,1.9174696779788436
Argentina,2024,ARG,5,19.5,,1.9981535479432353
United States,2024,USA,813,5700.8,,16.406603063820736
United Kingdom,2024,GBR,55,225.3,,6.101737251997478
Vietnam,2024,VNM,6,13.9,,2.9321625412809453
Venezuela,2024,VEN,1,4.4,,
Uruguay,2024,URY,2,2.2,,
Lebanon,2024,LBN,6,11.799999999999999,,
Australia,2024,AUS,48,214.5,,10.644918375091924
Germany,2024,DEU,132,643.9,,13.137104056351774
Romania,2024,ROU,6,10.6,,2.50710408148127
Greece,2024,GRC,10,26.8,,6.968748987608991
Qatar,2024,QAT,2,3.5,,
Portugal,2024,PRT,1,5.7,,1.637174229400109
Guernsey,2024,GGY,1,2.6,,
Poland,2024,POL,8,26.5,,2.6626263754212816
Hong Kong,2024,HKG,67,329.7,,96.13809772448893
Philippines,2024,PHL,16,49.2,,9.47051207161128
Hungary,2024,HUN,5,6.800000000000001,,1.8362540986847316
Iceland,2024,ISL,1,2.1,,8.059308104512404
Panama,2024,PAN,1,1.1,,1.199293855777718
Oman,2024,OMN,2,4.9,,3.9743990384615464
Norway,2024,NOR,12,41.2,,7.476622940316116
India,2024,IND,200,953.7,,19.00888486299225
Nigeria,2024,NGA,4,26.7,,30.028912934484527
Indonesia,2024,IDN,35,200.9,,10.093561242497186
Liechtenstein,2024,LIE,1,1.5,,
Luxembourg,2024,LUX,1,1.1,,
Malaysia,2024,MYS,17,51.5,,13.687016223453032
Kazakhstan,2024,KAZ,6,25.4,,8.645055114962288
Japan,2024,JPN,41,181.4,,3.5865646066904953
Mexico,2024,MEX,22,199.7,,9.441625820752824
Russia,2024,RUS,120,536.5,,23.23612396367801
Italy,2024,ITA,73,301.7,,9.561606494594207
Morocco,2024,MAR,2,3.0999999999999996,,1.9842764065322913
Nepal,2024,NPL,1,1.8,,4.400109445043761
Israel,2024,ISR,36,137.8,,22.21997796731168
Netherlands,2024,NLD,14,47.0,,7.26215925443541
Ireland,2024,IRL,11,52.9,,6.634539241460307
New Zealand,2024,NZL,4,15.9,,5.010539823752104
Monaco,2024,MCO,3,11.0,,
Georgia,2024,GEO,2,10.100000000000001,,28.163912219923702
France,2024,FRA,53,673.5,,19.466138899707868
Finland,2024,FIN,7,14.9,,4.663756440734717
Taiwan,2024,TWN,51,145.2,,
Tanzania,2024,TZA,1,1.8,,1.89493743419347
Canada,2024,CAN,67,314.7,,11.452813087887
Bulgaria,2024,BGR,2,4.2,,4.134493715277838
Thailand,2024,THA,26,85.3,,19.574906292336333
Brazil,2024,BRA,69,230.9,,7.3792397447084195
Chile,2024,CHL,6,42.199999999999996,,12.487582021003666
Belize,2024,BLZ,1,4.7,,118.84808776474173
Belgium,2024,BEL,10,36.3,,2.4991435803688073
Ukraine,2024,UKR,5,9.4,,6.489255588399505
Barbados,2024,BRB,1,1.4,,21.897019541531233
Bangladesh,2024,BGD,1,1.1,,0.22861567234511979
Austria,2024,AUT,9,75.6,,13.700643805483171
United Arab Emirates,2024,ARE,4,27.8,,4.244570979224734
Turkey,2024,TUR,27,56.1,,5.216501164138737
Armenia,2024,ARM,1,1.1,,4.956192497213395
Switzerland,2024,CHE,41,224.1,,23.31230436310064
Sweden,2024,SWE,43,162.0,,23.665539141173273
Singapore,2024,SGP,39,115.5,,24.888942066415215
Slovakia,2024,SVK,2,3.4000000000000004,,2.3344494612789846
Eswatini (Swaziland),2024,SWZ,1,7.2,,141.37024341483132
Estonia,2024,EST,1,2.2,,3.1905873684530963
South Africa,2024,ZAF,6,29.4,,6.776402009307303
Egypt,2024,EGY,5,18.4,,4.824132886962895
China,2024,CHN,406,1335.6,,9.24259707865095
Denmark,2024,DNK,9,50.4,,10.440408144014485
Czech Republic,2024,CZE,11,66.7,,18.557791235914515
Spain,2024,ESP,29,177.1,,8.55320125572042
St. Kitts and Nevis,2024,KNA,1,1.3,,120.70195304013157
Cyprus,2024,CYP,10,55.699999999999996,,114.18067278576378
Croatia,2024,HRV,1,1.7,,1.9349647998682893
Colombia,2024,COL,4,29.6,,4.978817247442221
South Korea,2024,KOR,36,92.1,,4.343782718234618
Zimbabwe,2024,ZWE,1,1.8,,7.159471018650152
